"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 25 22:42:45 GMT 2025","Sun May 25 22:42:45 GMT 2025","23","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Sun May 25 22:42:45 GMT 2025","Sun May 25 22:42:45 GMT 2025","20","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create Project without name",""
"broken","Sun May 25 22:42:46 GMT 2025","Sun May 25 22:42:46 GMT 2025","23","Surefire suite","Surefire test","com.example.teamcity.ui.ProjectSearchTest","com.example.teamcity.ui.ProjectSearchTest","searchExistingProjectByNameTest","User should be able to find created project on the sideBar by name",""
"broken","Sun May 25 22:42:45 GMT 2025","Sun May 25 22:42:45 GMT 2025","51","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoUrl","User should not be able to create buildType with empty repo url",""
"broken","Sun May 25 22:42:45 GMT 2025","Sun May 25 22:42:45 GMT 2025","32","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidRepoUrl","User should not be able to create buildType with incorrect repo url",""
"skipped","Sun May 25 22:42:38 GMT 2025","Sun May 25 22:42:38 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","authorizeAgentTest","Superuser should be able to authorize Teamcity Agent",""
"broken","Sun May 25 22:42:46 GMT 2025","Sun May 25 22:42:46 GMT 2025","18","Surefire suite","Surefire test","com.example.teamcity.ui.ProjectSearchTest","com.example.teamcity.ui.ProjectSearchTest","searchNonExistingProjectTest","User should not be able to find non existing project on the sideBar",""
"broken","Sun May 25 22:42:38 GMT 2025","Sun May 25 22:42:38 GMT 2025","15","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","setUpServerAuthSettings","setUpServerAuthSettings",""
"broken","Sun May 25 22:42:44 GMT 2025","Sun May 25 22:42:45 GMT 2025","1482","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"broken","Sun May 25 22:42:38 GMT 2025","Sun May 25 22:42:38 GMT 2025","4","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
