"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 27 21:28:34 GMT 2025","Tue May 27 21:28:34 GMT 2025","184","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesTwoProjectsWithTheSameId","SuperUser should not be able to create project with the same ID",""
"passed","Tue May 27 21:28:37 GMT 2025","Tue May 27 21:28:37 GMT 2025","133","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userWithCertainRolesCreatesProjectTest","Users with roles Project viewer, Project developer, Agent manager should not be able to create project of global scope",""
"passed","Tue May 27 21:28:34 GMT 2025","Tue May 27 21:28:34 GMT 2025","125","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesTwoProjectsWithTheSameName","SuperUser should not be able to create project with the same name",""
"passed","Tue May 27 21:28:34 GMT 2025","Tue May 27 21:28:34 GMT 2025","54","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesProjectWithLongIdLengthTest","SuperUser should not be able to create project with id length > 225",""
"passed","Tue May 27 21:28:40 GMT 2025","Tue May 27 21:28:40 GMT 2025","235","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","superUserSearchProjectTest","SuperUser should be able to find created project by name",""
"passed","Tue May 27 21:28:35 GMT 2025","Tue May 27 21:28:35 GMT 2025","132","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","systemAdminCreatesProjectWithEmptyName","System admin should not be able to create project with empty name",""
"passed","Tue May 27 21:28:34 GMT 2025","Tue May 27 21:28:34 GMT 2025","92","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesProjectWithNonLatinLettersTest","SuperUser should not be able to create project with id, that contains non latin letters",""
"passed","Tue May 27 21:28:39 GMT 2025","Tue May 27 21:28:39 GMT 2025","356","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildMockTest","com.example.teamcity.api.StartBuildMockTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Tue May 27 21:28:40 GMT 2025","Tue May 27 21:28:40 GMT 2025","35","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","superUserSearchNonExistingProjectTest","SuperUser should not be able to find non existing projects",""
"passed","Tue May 27 21:28:28 GMT 2025","Tue May 27 21:28:29 GMT 2025","319","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","System Admin should be able to create build type",""
"passed","Tue May 27 21:28:39 GMT 2025","Tue May 27 21:28:40 GMT 2025","372","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","projectAdminSearchProjectTest","Project Admin should be able to find their projects",""
"passed","Tue May 27 21:28:33 GMT 2025","Tue May 27 21:28:33 GMT 2025","51","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesProjectWithEmptyId","SuperUser should not be able to create project with empty ID",""
"passed","Tue May 27 21:28:26 GMT 2025","Tue May 27 21:28:27 GMT 2025","843","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Tue May 27 21:28:07 GMT 2025","Tue May 27 21:28:08 GMT 2025","587","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","authorizeAgentTest","Superuser should be able to authorize Teamcity Agent",""
"passed","Tue May 27 21:28:34 GMT 2025","Tue May 27 21:28:34 GMT 2025","70","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesProjectWithInvalidCharactersTest","SuperUser should not be able to create project, that starts with non letter character and with non latin letters",""
"passed","Tue May 27 21:28:28 GMT 2025","Tue May 27 21:28:28 GMT 2025","133","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","superUserCreatesBuildTypeWithIdExceedingMaxLengthTest","SuperUser should not be able to create build type with ID > 225 symbols",""
